ChEMBLID,SMILES,pValue,StandType,grappolo
CHEMBL38981,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cc2ccccc2cc1O,5.22,IC50,Cz
CHEMBL38462,O=C(N/N=C/c1ccc(-c2ccc(Cl)cc2)o1)c1ccccc1O,4.0,IC50,Cz
CHEMBL289164,O=C(N/N=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1)c1ccccc1O,4.7,IC50,Cz
CHEMBL39253,COc1ccc2cc(O)c(C(=O)N/N=C/c3ccc(-c4cc(C(F)(F)F)nn4C)s3)cc2c1,6.7,IC50,Cz
CHEMBL39814,CN(C)c1ccc(/C=N/NC(=O)c2ccccc2)c2ccccc12,6.3,IC50,Cz
CHEMBL40503,O=C(N/N=C/c1cc(Br)cs1)c1cnc2ccccc2c1,4.52,IC50,Cz
CHEMBL40119,COc1cc(OC)cc(C(=O)N/N=C/c2ccc(C(=O)O)o2)c1,5.0,IC50,Cz
CHEMBL289374,CN(C)c1ccc(/C=N/NC(=O)c2ccnc3ccccc23)c2ccccc12,5.22,IC50,Cz
CHEMBL416237,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cccc([N+](=O)[O-])c1,5.3,IC50,Cz
CHEMBL289764,O=C(N/N=C/c1ccnc2ccccc12)c1ccccc1O,4.52,IC50,Cz
CHEMBL40165,CSc1ccc(/C=N/NC(=O)c2cccc(C)c2O)s1,5.0,IC50,Cz
CHEMBL39723,CN(C)c1ccc(/C=N/NC(=O)c2ccc(O)c(O)c2)c2ccccc12,4.79,IC50,Cz
CHEMBL39161,O=C(N/N=C/c1ccc(-c2ccccc2Cl)o1)c1cc2ccccc2cc1O,6.22,IC50,Cz
CHEMBL326220,C/C(=N\N=C(/S)N1CCN(C)CC1)c1cccc(Br)c1,5.3,IC50,Cz
CHEMBL108035,C/C(=N\N=C(\N)S)c1cccc(-c2ccccc2)c1,5.1,IC50,Cz
CHEMBL108865,C/C(=N\N=C(\N)S)c1cccc(Oc2ccccc2)c1,5.0,IC50,Cz
CHEMBL109893,C/C(=N\N=C(\N)S)c1ccc(Oc2ccccc2)cc1,5.0,IC50,Cz
CHEMBL108700,C/C(=N\N=C(/S)N1CCCCC1)c1cccc(Br)c1,5.3,IC50,Cz
CHEMBL323975,C/C(=N\N=C(\N)S)c1ccc(-c2ccccc2)cc1,5.3,IC50,Cz
CHEMBL108101,C/C(=N/N=C(/N)S)c1cccc(/C(C)=N/N=C(/N)S)c1,5.3,IC50,Cz
CHEMBL109619,CCN(CC)/C(S)=N/N=C(\C)c1cccc(Br)c1,5.3,IC50,Cz
CHEMBL607122,CC(C)C[C@H](NC(=O)c1ccc(C(C)(C)C)cc1)C(=O)N1NC[C@@H]2[C@H]1C(=O)CN2C(=O)c1ccccc1,7.03,Ki,Cz
CHEMBL607123,CC(C)C[C@H](NC(=O)c1ccc(N(C)C)cc1)C(=O)N1CC[C@@H]2[C@H]1C(=O)CN2C(=O)c1ccccc1,6.22,Ki,Cz
CHEMBL607169,CC(C)C[C@H](NC(=O)c1ccc(C(C)(C)C)cc1)C(=O)N1CC[C@@H]2[C@H]1C(=O)CN2C(=O)c1ccccc1,6.76,Ki,Cz
CHEMBL607170,CC(C)C[C@H](NC(=O)c1ccc(N(C)C)cc1)C(=O)N1OC[C@@H]2[C@H]1C(=O)CN2C(=O)c1ccccc1,5.6,Ki,Cz
CHEMBL181504,CCCC/C(=N\NC(N)=S)c1ccc(Cl)c(Cl)c1,7.72,IC50,Cz
CHEMBL181902,N/C(S)=N/N=C(/c1ccc(Cl)c(Cl)c1)C1CCCCC1,5.52,IC50,Cz
CHEMBL181752,N/C(S)=N/N=C(\C=C\c1ccccc1)c1ccc(Cl)c(Cl)c1,7.52,IC50,Cz
CHEMBL183767,N/C(S)=N/N=C(\Cc1ccccc1)c1ccc(Cl)c(Cl)c1,7.1,IC50,Cz
CHEMBL182795,Cc1ccc(/C(=N\N=C(\N)S)c2ccc(Cl)c(Cl)c2)cc1,7.4,IC50,Cz
CHEMBL183396,N/C(S)=N/N=C(/c1ccc(Cl)c(Cl)c1)C1CC1c1ccccc1,7.52,IC50,Cz
CHEMBL182790,N/C(S)=N/N=C(\COc1ccccc1)c1ccc(Cl)c(Cl)c1,7.52,IC50,Cz
CHEMBL183005,N/C(S)=N/N=C(\CCc1ccccc1)c1ccc(Cl)c(Cl)c1,7.4,IC50,Cz
CHEMBL378621,CC(=O)C1=CCCc2ccccc21,5.87,IC50,Cz
CHEMBL213224,NC(=S)N/N=C1\CCS(=O)(=O)c2c(Br)cc(Br)cc21,6.09,IC50,Cz
CHEMBL214219,NC(=S)N/N=C1\CCS(=O)(=O)c2ccc(Br)cc21,6.68,IC50,Cz
CHEMBL215671,NC(=S)N/N=C1\CCOc2ccc(Br)cc21,6.96,IC50,Cz
CHEMBL215980,NC(=S)N/N=C1\CCCc2ccc(Br)cc21,7.77,IC50,Cz
CHEMBL385682,NC(=S)N/N=C1\CCCc2c(Br)cccc21,5.92,IC50,Cz
CHEMBL384296,NC(=S)NN=C(c1cccc(Br)c1)c1cccc(Br)c1,7.62,IC50,Cz
CHEMBL376207,NC(=S)N/N=C(\c1ccccc1)c1cccc(Br)c1,7.1,IC50,Cz
CHEMBL373586,CC/C(=N\NC(N)=S)c1cccc([N+](=O)[O-])c1,6.07,IC50,Cz
CHEMBL212718,C=CC(=O)C1=CCCc2ccc(Br)cc21,6.1,IC50,Cz
CHEMBL249814,CCOC(=O)[C@H]1O[C@H]1C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,7.7,IC50,Cz
CHEMBL91704,CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,8.3,IC50,Cz
CHEMBL249815,CCOC(=O)[C@@H]1O[C@@H]1C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,7.3,IC50,Cz
CHEMBL330585,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)[C@@H]1CO1)OCc1ccccc1,8.0,IC50,Cz
CHEMBL401401,Cc1ccc(C[C@H](NC(=O)c2ccc3c(c2)OCCO3)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)cc1,7.72,Ki,Cz
CHEMBL252413,Cc1ccc(C[C@H](NC(=O)c2ccccn2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)cc1,5.77,Ki,Cz
CHEMBL399181,Cc1ccc(C[C@H](NC(=O)c2ccc(C(F)(F)F)cc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)cc1,7.35,Ki,Cz
CHEMBL251810,Cc1ccc(C[C@H](NC(=O)c2cc(F)cc(F)c2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)cc1,6.46,Ki,Cz
CHEMBL253015,O=C(N[C@@H](Cc1cccc(C(F)(F)F)c1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1ccccn1,6.82,Ki,Cz
CHEMBL254903,Cc1cccc(C[C@H](NC(=O)c2ccc3c(c2)OCCO3)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)c1,7.15,Ki,Cz
CHEMBL442284,Cc1cccc(C[C@H](NC(=O)c2ccccn2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)c1,6.55,Ki,Cz
CHEMBL254066,Cc1cccc(C[C@H](NC(=O)c2ccc(C(F)(F)F)cc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)c1,7.04,Ki,Cz
CHEMBL400904,Cc1cccc(C[C@H](NC(=O)c2cc(F)cc(F)c2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)c1,7.3,Ki,Cz
CHEMBL399676,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1ccc2c(c1)OCCO2,7.1,Ki,Cz
CHEMBL399591,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1ccccn1,6.6,Ki,Cz
CHEMBL254687,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1ccc(C(F)(F)F)cc1,7.01,Ki,Cz
CHEMBL399675,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1cc(F)cc(F)c1,6.01,Ki,Cz
CHEMBL251802,CN1CCN(C(=O)N[C@@H](Cc2cccnc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,5.44,Ki,Cz
CHEMBL254902,CN1CCN(C(=O)N[C@@H](Cc2cccc(C(F)(F)F)c2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,6.77,Ki,Cz
