ChEMBLID,pValue,grappolo,SlogP,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAromaticRings,FractionCSP3
CHEMBL474458,4.8,hCatL,3.49224,143.56,576.207626872001,14,3,8,2,0.555555555555556
CHEMBL474257,5.04,hCatL,3.9988,143.56,590.223276936001,15,3,8,2,0.571428571428571
CHEMBL481433,4.57,hCatL,3.18382,143.56,562.191976808001,13,3,8,2,0.538461538461538
CHEMBL519136,4.62,hCatL,2.1524,148.49,545.230804840001,13,3,8,2,0.538461538461538
CHEMBL482218,4.89,hCatL,3.4804,130.67,547.181077776001,12,3,7,2,0.5
CHEMBL515251,4.64,hCatL,3.4673,143.56,576.180933456001,12,3,7,2,0.481481481481481
CHEMBL473448,5.06,hCatL,3.12232,143.56,556.235555872001,13,3,7,2,0.5
CHEMBL480836,4.89,hCatL,2.8139,143.56,542.219905808001,12,3,7,2,0.481481481481481
CHEMBL480638,4.85,hCatL,2.8139,143.56,542.219905808001,12,3,7,2,0.481481481481481
CHEMBL481424,4.89,hCatL,2.8139,143.56,542.219905808001,12,3,7,2,0.481481481481481
CHEMBL514299,5.07,hCatL,3.29058,154.46,566.219905808001,12,3,7,2,0.448275862068966
CHEMBL515769,5.17,hCatL,3.29058,154.46,566.219905808001,12,3,7,2,0.448275862068966
CHEMBL514195,5.1,hCatL,3.29058,154.46,566.219905808001,12,3,7,2,0.448275862068966
CHEMBL475669,4.85,hCatL,3.4275,139.9,571.235221524001,14,3,7,2,0.482758620689655
CHEMBL475269,4.96,hCatL,3.4275,139.9,571.235221524001,14,3,7,2,0.482758620689655
CHEMBL475268,5.04,hCatL,3.0011,156.69,556.235555872001,13,4,7,2,0.464285714285714
CHEMBL475063,5.08,hCatL,3.72732,130.67,555.240306904001,13,3,6,2,0.482758620689655
CHEMBL515588,4.96,hCatL,3.558,130.67,559.215235028001,12,3,6,2,0.464285714285714
CHEMBL474865,5.11,hCatL,3.558,130.67,559.215235028001,12,3,6,2,0.464285714285714
CHEMBL474664,5.23,hCatL,3.558,130.67,559.215235028001,12,3,6,2,0.464285714285714
CHEMBL519763,4.85,hCatL,1.3846,143.56,480.204255744001,12,3,7,1,0.636363636363636
CHEMBL517082,4.51,hCatL,2.8139,143.56,542.219905808001,12,3,7,2,0.481481481481481
CHEMBL474059,5.96,hCatL,4.0723,130.67,575.185684488001,12,3,6,2,0.464285714285714
CHEMBL473654,5.64,hCatL,3.72732,130.67,555.240306904001,13,3,6,2,0.482758620689655
CHEMBL481227,5.02,hCatL,2.1922,147.74,521.219571460001,14,3,7,1,0.6
CHEMBL481034,5.11,hCatL,2.1287,130.67,497.199584964001,12,3,6,1,0.608695652173913
CHEMBL519135,6.01,hCatL,2.643,130.67,513.170034424001,12,3,6,1,0.608695652173913
CHEMBL516749,4.64,hCatL,2.29802,130.67,493.224656840001,13,3,6,1,0.625
CHEMBL479461,5.7,hCatL,2.29802,130.67,493.224656840001,13,3,6,1,0.625
CHEMBL479460,4.54,hCatL,1.9982,139.9,509.219571460001,14,3,7,1,0.625
CHEMBL480634,5.14,hCatL,1.9982,139.9,509.219571460001,14,3,7,1,0.625
CHEMBL475062,4.82,hCatL,3.56,130.67,555.240306904001,13,3,6,2,0.482758620689655
CHEMBL482388,4.96,hCatL,3.4189,130.67,541.224656840001,12,3,6,2,0.464285714285714
CHEMBL521115,4.8,hCatL,1.8364,133.91,508.235555872001,14,3,6,1,0.625
CHEMBL482191,4.19,hCatL,3.6925,130.67,547.271607032001,12,3,6,1,0.678571428571429
CHEMBL479831,4.92,hCatL,2.5222,130.67,505.224656840001,12,3,6,1,0.64
CHEMBL482348,4.82,hCatL,2.7682,130.67,507.240306904001,14,3,6,1,0.64
CHEMBL519633,4.82,hCatL,2.8796,130.67,533.180741340001,11,3,6,1,0.608695652173913
CHEMBL519115,4.68,hCatL,3.1599,130.67,521.255956968001,15,3,6,1,0.653846153846154
CHEMBL480381,4.77,hCatL,2.3797,130.67,493.224656840001,13,3,6,1,0.625
CHEMBL482168,4.82,hCatL,1.5262,130.67,479.209006776001,12,3,6,1,0.608695652173913
CHEMBL482167,4.57,hCatL,1.5262,130.67,479.209006776001,12,3,6,1,0.608695652173913
CHEMBL482166,4.96,hCatL,2.0139,121.88,493.224656840001,13,2,6,1,0.625
CHEMBL481503,5.6,hCatL,1.9896,130.67,479.209006776001,12,3,6,1,0.608695652173913
CHEMBL471972,4.92,hCatL,1.9896,130.67,479.209006776001,12,3,6,1,0.608695652173913
CHEMBL512367,5,hCatL,2.1454,84.5,366.161328312001,7,2,5,1,0.611111111111111
CHEMBL492175,9.36,hCatL,4.4225,101.34,391.012661192,5,2,6,2,0.0588235294117647
CHEMBL521771,8.78,hCatL,4.73092,101.34,405.028311256,6,2,6,2,0.111111111111111
CHEMBL491348,4.7,hCatL,5.0759,101.34,424.97368884,5,2,6,2,0.0588235294117647
CHEMBL470707,5.97,hCatL,5.495,58.2,511.837063892,4,2,4,2,0.0588235294117647
CHEMBL513042,6,hCatL,5.2768,58.2,423.938095052,4,2,4,2,0.0588235294117647
CHEMBL471915,5.91,hCatL,5.8211,58.2,413.94963828,4,2,4,2,0.0588235294117647
CHEMBL523822,5.86,hCatL,5.69432,58.2,481.903229536,5,2,4,2,0.111111111111111
CHEMBL423112,5.9,hCatL,2.8638,84.5,382.189257312001,11,2,4,2,0.318181818181818
CHEMBL490920,5.51,hCatL,-0.113499999999997,128.34,383.205635648001,12,3,6,0,0.777777777777778
CHEMBL2368566,6.29,hCatL,3.7902,84.5,462.195485564001,11,2,4,3,0.222222222222222
CHEMBL296588,6.1,hCatL,1.46720000000001,223.26,685.462578596002,35,8,9,0,0.823529411764706
CHEMBL474484,5.85,hCatL,0.407980000000001,102.89,275.185843672001,7,3,7,1,0.615384615384615
CHEMBL450061,5.7,hCatL,0.83498,100.09,276.169859260001,7,2,7,1,0.615384615384615
CHEMBL550246,6.6,hCatL,2.32088,81.99,341.093104432001,6,2,3,2,0.166666666666667
CHEMBL557920,5.9,hCatL,2.58738,81.99,347.140054624001,6,2,3,1,0.5
CHEMBL561725,6.3,hCatL,2.50748,81.99,345.124404560001,6,2,3,1,0.388888888888889
CHEMBL550247,6.5,hCatL,2.97748,81.99,361.155704688001,6,2,3,1,0.526315789473684
CHEMBL560785,6.6,hCatL,2.6293,81.99,355.108754496001,7,2,3,2,0.210526315789474
CHEMBL561927,6.6,hCatL,2.6293,81.99,355.108754496001,7,2,3,2,0.210526315789474
CHEMBL572332,6.1,hCatL,2.6293,81.99,355.108754496001,7,2,3,2,0.210526315789474
CHEMBL551805,7.1,hCatL,2.97428,81.99,375.05413208,6,2,3,2,0.166666666666667
CHEMBL560786,7.1,hCatL,2.93772,81.99,369.124404560001,8,2,3,2,0.25
CHEMBL562325,6.5,hCatL,2.93772,81.99,369.124404560001,8,2,3,2,0.25
CHEMBL559238,7.3,hCatL,2.93772,81.99,369.124404560001,8,2,3,2,0.25
CHEMBL551121,6.6,hCatL,3.47408,81.99,391.108754496001,6,2,3,3,0.136363636363636
CHEMBL556217,6.4,hCatL,3.19968,81.99,395.140054624001,6,2,3,2,0.318181818181818
CHEMBL552001,7,hCatL,2.86908,94.88,392.104003464001,6,2,4,3,0.142857142857143
CHEMBL549365,7.7,hCatL,4.09092,81.99,419.140054624001,8,2,3,3,0.208333333333333
CHEMBL556421,5.9,hCatL,1.3628,99.81,359.114902496001,8,2,5,2,0.294117647058824
CHEMBL551059,6.3,hCatL,1.3628,99.81,359.114902496001,8,2,5,2,0.294117647058824
CHEMBL563522,6.2,hCatL,1.92572,108.02,360.098918084001,8,2,5,2,0.294117647058824
CHEMBL551060,6.4,hCatL,2.39422,94.88,376.076074464001,8,2,5,2,0.294117647058824
CHEMBL561586,7.1,hCatL,2.99922,81.99,375.080825496001,8,2,4,2,0.277777777777778
